model,gamma,f,aggregator,attack,accuracy
snn_atan12,0.66,3,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,4,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,5,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.96
snn_atan12,1.0,0,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,1,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,2,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,3,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,4,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,5,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,0,CenteredClipping,SignFlipping,0.97
snn_atan12,0.0,1,CenteredClipping,SignFlipping,0.88
snn_atan12,0.0,2,CenteredClipping,SignFlipping,0.76
snn_atan12,0.0,3,CenteredClipping,SignFlipping,0.58
snn_atan12,0.0,4,CenteredClipping,SignFlipping,0.34
snn_atan12,0.0,5,CenteredClipping,SignFlipping,0.13
snn_atan12,0.33,0,CenteredClipping,SignFlipping,0.97
snn_atan12,0.33,1,CenteredClipping,SignFlipping,0.96
snn_atan12,0.33,2,CenteredClipping,SignFlipping,0.88
snn_atan12,0.33,3,CenteredClipping,SignFlipping,0.7
snn_atan12,0.33,4,CenteredClipping,SignFlipping,0.51
snn_atan12,0.33,5,CenteredClipping,SignFlipping,0.13
snn_atan12,0.66,0,CenteredClipping,SignFlipping,0.97
snn_atan12,0.66,1,CenteredClipping,SignFlipping,0.96
snn_atan12,0.66,2,CenteredClipping,SignFlipping,0.95
snn_atan12,0.66,3,CenteredClipping,SignFlipping,0.92
snn_atan12,0.66,4,CenteredClipping,SignFlipping,0.89
snn_atan12,0.66,5,CenteredClipping,SignFlipping,0.13
snn_atan12,1.0,0,CenteredClipping,SignFlipping,0.97
snn_atan12,1.0,1,CenteredClipping,SignFlipping,0.97
snn_atan12,1.0,2,CenteredClipping,SignFlipping,0.96
snn_atan12,1.0,3,CenteredClipping,SignFlipping,0.95
snn_atan12,1.0,4,CenteredClipping,SignFlipping,0.95
snn_atan12,1.0,5,CenteredClipping,SignFlipping,0.94
snn_atan12,0.0,0,CenteredClipping,Optimal_InnerProductManipulation,0.97
snn_atan12,0.0,1,CenteredClipping,Optimal_InnerProductManipulation,0.8
snn_atan12,0.0,2,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,3,CenteredClipping,Optimal_InnerProductManipulation,0.13
